"zone","state","lga","sector","ea","hhid","sa9bq1","sa9bq2","tracked_obs"
4,1,105,2,638,10094,2,,0
2,2,216,2,200,20031,2,,0
2,2,216,2,200,20032,2,,0
2,2,216,2,200,20033,1,,0
2,2,216,2,200,20034,2,,0
2,2,216,2,200,20040,1,1,0
4,4,405,2,484,40080,2,,0
2,5,502,2,3878,50038,2,,0
2,5,514,2,710,50062,1,0,0
2,5,514,2,710,50063,2,,0
2,5,514,2,710,50067,1,0,0
2,5,514,2,710,50070,1,1,0
5,6,602,2,1356,60003,1,1,0
5,6,602,2,1356,60009,1,1,0
5,6,602,2,1356,60010,1,3,0
5,6,608,1,3978,60021,1,1,0
5,6,608,1,3978,60022,1,2,0
5,6,608,1,3978,60030,1,1,0
5,6,607,2,1892,60038,1,1,0
5,6,601,2,640,60045,1,1,0
1,7,713,2,304,70152,1,1,0
1,7,713,2,304,70153,1,1,0
1,7,713,2,304,70154,2,,0
1,7,713,2,304,70155,1,2,0
1,7,713,2,304,70157,1,2,0
2,8,802,2,1152,80074,2,,0
5,9,917,1,1254,90031,2,,0
5,10,1014,2,80,100001,2,,0
5,10,1018,2,898,100102,1,,0
5,10,1018,1,634,100117,2,,0
3,17,1722,2,96,170041,1,1,0
3,17,1722,2,96,170042,1,3,0
3,17,1722,2,96,170046,1,2,0
3,17,1722,2,96,170047,1,1,0
3,17,1722,2,96,170049,1,1,0
3,19,1928,2,526,190175,2,,0
3,21,2109,2,38,210028,2,,0
3,21,2117,2,554,210064,1,,0
6,24,2407,2,396,240163,2,,0
6,28,2810,2,2394,280096,1,1,0
6,28,2810,2,2394,280097,1,1,0
6,28,2810,2,2394,280098,1,2,0
6,28,2810,2,2394,280099,1,,0
6,28,2810,1,3722,280103,1,2,0
6,28,2810,1,3722,280108,1,2,0
6,28,2810,1,3722,280109,1,1,0
6,28,2807,2,1266,280122,1,2,0
6,28,2807,2,1266,280126,1,1,0
6,28,2807,2,1266,280127,1,2,0
6,28,2807,2,1266,280128,1,2,0
6,28,2807,2,1266,280129,1,1,0
6,28,2807,2,1266,280130,1,1,0
6,29,2920,2,1628,290178,2,,0
6,29,2920,2,1628,290179,2,,0
1,31,3101,2,604,310016,1,4,0
1,31,3116,2,1344,310091,1,2,0
5,32,3206,2,276,320076,1,1,0
5,32,3206,2,276,320079,1,1,0
5,32,3208,2,2244,320093,1,2,0
5,32,3201,2,2034,320106,1,1,0
5,32,3221,2,132,320170,2,,0
5,32,3216,2,1184,320187,1,2,0
5,32,3212,2,314,320194,1,1,0
5,32,3207,2,1464,320202,1,1,0
2,35,3507,2,746,350017,2,,0
2,35,3501,1,702,350095,1,2,0
3,36,3606,2,1956,360082,2,,0
